Date,Open,High,Low,Close,Volume,stock_symbol
2024-09-12,467.99234441892827,473.37479534099487,466.1948825217177,472.5559387207031,40175500,QQQ
2024-09-13,471.8170015668569,475.8613061986484,471.58731334434304,474.6729736328125,29111800,QQQ
2024-09-16,472.5259795712057,473.19502230094247,469.2306226186068,472.5758972167969,22585600,QQQ
2024-09-17,475.6216506853328,476.9298099791118,470.30910870501043,472.8255615234375,30084400,QQQ
2024-09-18,474.03387745761705,478.1580563322929,470.16928253380604,470.7784423828125,39909200,QQQ
2024-09-19,481.9327541112982,485.54769987924624,479.81573391582003,482.68170166015625,52782500,QQQ
2024-09-20,481.8129181340124,483.0112463790923,477.6287954700336,481.76300048828125,34577700,QQQ
2024-09-23,482.95001220703125,484.1400146484375,481.6000061035156,483.0400085449219,24843000,QQQ
2024-09-24,484.4599914550781,486.3299865722656,480.1700134277344,485.3699951171875,25952600,QQQ
2024-09-25,484.739990234375,487.7900085449219,484.55999755859375,485.82000732421875,26549900,QQQ
2024-09-26,493.3699951171875,493.70001220703125,485.79998779296875,489.4700012207031,32020200,QQQ
2024-09-27,490.5,490.6400146484375,485.55999755859375,486.75,22851100,QQQ
2024-09-30,485.7799987792969,488.4100036621094,482.9200134277344,488.07000732421875,30281100,QQQ
2024-10-01,487.70001220703125,488.0,477.3999938964844,481.2699890136719,42735400,QQQ
2024-10-02,480.3599853515625,483.8800048828125,477.7200012207031,481.95001220703125,23744000,QQQ
2024-10-03,479.739990234375,484.54998779296875,478.989990234375,481.5899963378906,25337200,QQQ
2024-10-04,487.45001220703125,487.8800048828125,482.3900146484375,487.32000732421875,30686600,QQQ
2024-10-07,485.3900146484375,486.57000732421875,480.8699951171875,482.1000061035156,24975100,QQQ
2024-10-08,484.6600036621094,489.989990234375,483.8500061035156,489.29998779296875,28272000,QQQ
2024-10-09,489.0,493.7300109863281,487.95001220703125,493.1499938964844,24995000,QQQ
2024-10-10,490.8500061035156,494.4700012207031,489.5299987792969,492.5899963378906,25750400,QQQ
2024-10-11,490.739990234375,494.3900146484375,490.1700134277344,493.3599853515625,20617800,QQQ
